Doctor Name,Specialization,Available Time,Room No,Fee
Prof. Dr. Syed Mohsin Naveed,Nephrologist,10:00 AM - 04:00 PM,101,"Rs. 3,000 - 4,000"
Dr. Aisha Ghias,Dermatologist,05:00 PM - 08:00 PM,102,"Rs. 2,000 - 2,500"
Dr. Aijaz Ahmed,Endocrinologist,06:00 PM - 09:00 PM,103,"Rs. 2,500"
Prof. Dr. Saima Gillani,Gynecologist,03:00 PM - 07:00 PM,104,"Rs. 2,000"
Dr. Rizwan Riaz,Pediatrician,04:00 PM - 08:00 PM,105,"Rs. 1,000 - 1,500"
Dr. Asim Riaz,Cardiologist,02:00 PM - 06:00 PM,106,"Rs. 4,000"
Dr. Shaukat Ali Bangash,Internal Medicine Specialist,09:00 AM - 03:00 PM,107,"Rs. 4,000"
Dr. Muneeb Ullah,Laparoscopic Surgeon,04:00 PM - 07:00 PM,108,"Rs. 2,500 - 3,000"
Dr. Zarmina Tareen,Psychiatrist,05:00 PM - 09:00 PM,109,"Rs. 1,500 - 2,000"
Dr. Raman Kumar,Pediatric Neurologist,06:00 PM - 10:00 PM,110,"Rs. 2,500"
